,folder,pic1,pic2,det,desc,matches,inliers,score,det time,desc time,hmg time,saved as
4616,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img2.png""", Harris, SIFT,855.0,636.0,99.9987026389,0.04191,7.15677,0.149859, out/ubc/img1_img2_det_Harris_desc_SIFT.png
4617,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img2.png""", Harris, SURF,855.0,567.0,99.9998210468,0.045381,0.576949,0.152462, out/ubc/img1_img2_det_Harris_desc_SURF.png
4618,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img2.png""", Harris, ORB,741.0,6.0,3.04306668779,0.04541,0.023532,0.157404, out/ubc/img1_img2_det_Harris_desc_ORB.png
4619,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img2.png""", GFTT, BRIEF,1820.0,7.0,1.6810172809,0.056452,0.057981,0.396567, out/ubc/img1_img2_det_GFTT_desc_BRIEF.png
4620,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img2.png""", GFTT, SIFT,2074.0,1294.0,99.9985396579,0.056401,17.8489,0.924395, out/ubc/img1_img2_det_GFTT_desc_SIFT.png
4621,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img2.png""", GFTT, SURF,2074.0,1095.0,99.999318524,0.058209,1.42179,0.925968, out/ubc/img1_img2_det_GFTT_desc_SURF.png
4622,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img2.png""", GFTT, ORB,1795.0,8.0,1.56252238704,0.057752,0.047465,0.393365, out/ubc/img1_img2_det_GFTT_desc_ORB.png
4623,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img2.png""", SIFT, BRIEF,5379.0,9.0,1.06004445397,1.02193,0.163728,2.75414, out/ubc/img1_img2_det_SIFT_desc_BRIEF.png
4624,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img2.png""", SIFT, SIFT,6046.0,3382.0,99.9995829542,1.02232,2.09175,9.41077, out/ubc/img1_img2_det_SIFT_desc_SIFT.png
4625,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img2.png""", SIFT, SURF,6046.0,749.0,99.9994558238,1.01083,1.25846,9.47659, out/ubc/img1_img2_det_SIFT_desc_SURF.png
4626,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img2.png""", SIFT, ORB,5310.0,10.0,4.68459721069,1.01058,0.16882,2.77494, out/ubc/img1_img2_det_SIFT_desc_ORB.png
4627,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img2.png""", SURF, BRIEF,5918.0,9.0,3.78244427363,1.57712,0.180246,2.88951, out/ubc/img1_img2_det_SURF_desc_BRIEF.png
4628,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img2.png""", SURF, SIFT,6236.0,4439.0,99.9986869272,1.58036,23.4814,8.4522, out/ubc/img1_img2_det_SURF_desc_SIFT.png
4629,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img2.png""", SURF, SURF,6236.0,4134.0,99.9980209083,1.58272,5.21983,8.61654, out/ubc/img1_img2_det_SURF_desc_SURF.png
4630,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img2.png""", SURF, ORB,5854.0,7.0,0.902984635562,1.55572,0.152651,2.81029, out/ubc/img1_img2_det_SURF_desc_ORB.png
4631,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img2.png""", FAST, BRIEF,2654.0,9.0,1.42519170144,0.008142,0.073678,0.626288, out/ubc/img1_img2_det_FAST_desc_BRIEF.png
4632,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img2.png""", FAST, SIFT,2985.0,2267.0,99.9980229009,0.008413,1.53431,1.78062, out/ubc/img1_img2_det_FAST_desc_SIFT.png
4633,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img2.png""", FAST, SURF,2985.0,1285.0,99.9991297535,0.008268,0.682984,1.82818, out/ubc/img1_img2_det_FAST_desc_SURF.png
4634,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img2.png""", FAST, ORB,2620.0,7.0,10.4694679118,0.008005,0.066633,0.642102, out/ubc/img1_img2_det_FAST_desc_ORB.png
4635,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img2.png""", MSER, BRIEF,1107.0,122.0,99.998831147,1.12381,0.028088,0.219704, out/ubc/img1_img2_det_MSER_desc_BRIEF.png
4636,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img2.png""", MSER, SIFT,1342.0,1189.0,99.9968263358,1.05589,13.1178,0.375352, out/ubc/img1_img2_det_MSER_desc_SIFT.png
4637,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img2.png""", MSER, SURF,1342.0,1048.0,99.9982439862,1.12558,1.30492,0.378819, out/ubc/img1_img2_det_MSER_desc_SURF.png
4638,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img2.png""", MSER, ORB,1093.0,49.0,15.033377886,1.09483,0.031077,0.217044, out/ubc/img1_img2_det_MSER_desc_ORB.png
4639,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img2.png""", ORB, BRIEF,9790.0,8961.0,99.9991951025,0.136197,0.281248,7.7559, out/ubc/img1_img2_det_ORB_desc_BRIEF.png
4640,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img2.png""", ORB, SIFT,9790.0,8026.0,99.9997492794,0.134097,28.7005,21.9091, out/ubc/img1_img2_det_ORB_desc_SIFT.png
4641,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img2.png""", ORB, SURF,9790.0,8210.0,99.9996003791,0.134638,22.4082,22.0076, out/ubc/img1_img2_det_ORB_desc_SURF.png
4642,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img2.png""", ORB, ORB,9790.0,15.0,3.08325588093,0.134326,0.250401,7.96709, out/ubc/img1_img2_det_ORB_desc_ORB.png
4643,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img3.png""", Harris, BRIEF,752.0,8.0,1.1959464331,0.057746,0.023594,0.166238, out/ubc/img1_img3_det_Harris_desc_BRIEF.png
4644,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img3.png""", Harris, SIFT,855.0,503.0,99.9940677542,0.052926,6.43021,0.13257, out/ubc/img1_img3_det_Harris_desc_SIFT.png
4645,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img3.png""", Harris, SURF,855.0,433.0,99.9941438875,0.056669,0.550944,0.13617, out/ubc/img1_img3_det_Harris_desc_SURF.png
4646,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img3.png""", Harris, ORB,741.0,7.0,1.29141853252,0.05341,0.024422,0.161269, out/ubc/img1_img3_det_Harris_desc_ORB.png
4647,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img3.png""", GFTT, BRIEF,1820.0,7.0,1.72216172101,0.063967,0.055147,0.393314, out/ubc/img1_img3_det_GFTT_desc_BRIEF.png
4648,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img3.png""", GFTT, SIFT,2074.0,944.0,99.9830410863,0.069506,16.7366,0.925163, out/ubc/img1_img3_det_GFTT_desc_SIFT.png
4649,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img3.png""", GFTT, SURF,2074.0,777.0,99.9937016087,0.071352,1.47135,0.917625, out/ubc/img1_img3_det_GFTT_desc_SURF.png
4650,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img3.png""", GFTT, ORB,1795.0,8.0,1.42117722966,0.066497,0.048053,0.390163, out/ubc/img1_img3_det_GFTT_desc_ORB.png
4651,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img3.png""", SIFT, BRIEF,5379.0,13.0,2.42810278972,1.07868,0.19168,3.29986, out/ubc/img1_img3_det_SIFT_desc_BRIEF.png
4652,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img3.png""", SIFT, SIFT,6046.0,2785.0,99.9979109386,1.11227,2.28028,11.0485, out/ubc/img1_img3_det_SIFT_desc_SIFT.png
4653,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img3.png""", SIFT, SURF,6046.0,28.0,78.8071174727,1.04448,1.35378,11.1239, out/ubc/img1_img3_det_SIFT_desc_SURF.png
4654,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img3.png""", SIFT, ORB,5310.0,11.0,1.34205397463,1.05247,0.178514,3.18337, out/ubc/img1_img3_det_SIFT_desc_ORB.png
4655,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img3.png""", SURF, BRIEF,5918.0,12.0,1.44980254719,1.60249,0.180532,2.9089, out/ubc/img1_img3_det_SURF_desc_BRIEF.png
4656,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img3.png""", SURF, SIFT,6236.0,3771.0,99.9984578586,1.56787,23.4856,8.58556, out/ubc/img1_img3_det_SURF_desc_SIFT.png
4657,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img3.png""", SURF, SURF,6236.0,3314.0,99.9990766785,1.57658,5.30693,8.50038, out/ubc/img1_img3_det_SURF_desc_SURF.png
4658,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img3.png""", SURF, ORB,5854.0,8.0,14.8057861929,1.57484,0.159511,2.82087, out/ubc/img1_img3_det_SURF_desc_ORB.png
4659,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img3.png""", FAST, BRIEF,2654.0,8.0,3.02566665728,0.008185,0.076263,0.665142, out/ubc/img1_img3_det_FAST_desc_BRIEF.png
4660,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img3.png""", FAST, SIFT,2985.0,2114.0,99.992343565,0.008127,1.50231,1.74329, out/ubc/img1_img3_det_FAST_desc_SIFT.png
4661,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img3.png""", FAST, SURF,2985.0,847.0,99.9988555805,0.007973,0.669638,1.88621, out/ubc/img1_img3_det_FAST_desc_SURF.png
4662,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img3.png""", FAST, ORB,2620.0,8.0,8.79153525672,0.008114,0.060425,0.637148, out/ubc/img1_img3_det_FAST_desc_ORB.png
4663,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img3.png""", MSER, BRIEF,1107.0,115.0,96.0996263003,1.10795,0.029887,0.220095, out/ubc/img1_img3_det_MSER_desc_BRIEF.png
4664,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img3.png""", MSER, SIFT,1342.0,1135.0,99.9973733578,1.11309,13.1172,0.373868, out/ubc/img1_img3_det_MSER_desc_SIFT.png
4665,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img3.png""", MSER, SURF,1342.0,907.0,99.9983550445,1.20115,1.32786,0.368546, out/ubc/img1_img3_det_MSER_desc_SURF.png
4666,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img3.png""", MSER, ORB,1093.0,87.0,89.6510608115,1.1161,0.029548,0.213365, out/ubc/img1_img3_det_MSER_desc_ORB.png
4667,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img3.png""", ORB, BRIEF,9790.0,8579.0,99.9998465377,0.133276,0.285123,7.73626, out/ubc/img1_img3_det_ORB_desc_BRIEF.png
4668,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img3.png""", ORB, SIFT,9790.0,7247.0,99.9995915454,0.136453,28.7435,21.9687, out/ubc/img1_img3_det_ORB_desc_SIFT.png
4669,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img3.png""", ORB, SURF,9790.0,7607.0,99.999698488,0.137336,21.7247,21.8338, out/ubc/img1_img3_det_ORB_desc_SURF.png
4670,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img3.png""", ORB, ORB,9790.0,13.0,1.60991738621,0.139145,0.255512,7.93388, out/ubc/img1_img3_det_ORB_desc_ORB.png
4671,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img4.png""", Harris, BRIEF,752.0,8.0,1.86700358462,0.052881,0.019377,0.154376, out/ubc/img1_img4_det_Harris_desc_BRIEF.png
4672,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img4.png""", Harris, SIFT,855.0,291.0,99.9388342277,0.050706,6.0851,0.130431, out/ubc/img1_img4_det_Harris_desc_SIFT.png
4673,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img4.png""", Harris, SURF,855.0,275.0,99.9936565487,0.054308,0.543876,0.136447, out/ubc/img1_img4_det_Harris_desc_SURF.png
4674,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img4.png""", Harris, ORB,741.0,9.0,1.53382280601,0.049393,0.022393,0.147575, out/ubc/img1_img4_det_Harris_desc_ORB.png
4675,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img4.png""", GFTT, BRIEF,1820.0,6.0,2.02008668908,0.058136,0.053629,0.375167, out/ubc/img1_img4_det_GFTT_desc_BRIEF.png
4676,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img4.png""", GFTT, SIFT,2074.0,668.0,99.9897216465,0.058705,16.2502,0.896427, out/ubc/img1_img4_det_GFTT_desc_SIFT.png
4677,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img4.png""", GFTT, SURF,2074.0,497.0,99.9941473253,0.064843,1.46094,1.05736, out/ubc/img1_img4_det_GFTT_desc_SURF.png
4678,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img4.png""", GFTT, ORB,1795.0,10.0,0.689795322684,0.06377,0.04972,0.385451, out/ubc/img1_img4_det_GFTT_desc_ORB.png
4679,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img4.png""", SIFT, BRIEF,5379.0,12.0,6.62390900868,1.06265,0.171135,2.92844, out/ubc/img1_img4_det_SIFT_desc_BRIEF.png
4680,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img4.png""", SIFT, SIFT,6046.0,1952.0,99.9980447051,1.06425,2.23023,10.279, out/ubc/img1_img4_det_SIFT_desc_SIFT.png
4681,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img4.png""", SIFT, SURF,6046.0,13.0,2.0634097212,1.10348,1.3046,9.98161, out/ubc/img1_img4_det_SIFT_desc_SURF.png
4682,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img4.png""", SIFT, ORB,5310.0,10.0,3.38263818764,0.981119,0.160456,2.85909, out/ubc/img1_img4_det_SIFT_desc_ORB.png
4683,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img4.png""", SURF, BRIEF,5918.0,10.0,9.25557484536,1.51332,0.161587,2.6976, out/ubc/img1_img4_det_SURF_desc_BRIEF.png
4684,out/ubc/," ""data/graffiti/ubc/img1.png"""," ""data/graffiti/ubc/img4.png""", SURF, SIFT,6236.0,2457.0,99.984776066,1.6049,23.1884,7.7947, out/ubc/img1_img4_det_SURF_desc_SIFT.png
